,DealYear,DealMonth,Date,Area,Address,Rooms,Surface,Floor,Price,PPSQM,BuildYear,Unnamed: 0
0,2010.0,12.0,31/12/2010,tel-aviv-area,מלצ''ט 36,5.0,128.0,,950000.0,7421.0,1999.0,1.0
1,2010.0,12.0,31/12/2010,tel-aviv-area,קרליבך 1,3.0,82.0,4.0,2096120.0,25562.0,2013.0,2.0
2,2010.0,12.0,31/12/2010,tel-aviv-area,קרליבך 1,3.0,91.0,1.0,1898195.0,20859.0,2013.0,3.0
3,2010.0,12.0,31/12/2010,tel-aviv-area,קרליבך 1,5.0,121.0,12.0,3146500.0,26004.0,2013.0,4.0
4,2010.0,12.0,31/12/2010,tel-aviv-area,אב 1,5.0,125.0,18.0,7996764.0,63974.0,2011.0,6.0
5,2010.0,12.0,31/12/2010,tel-aviv-area,יהודה הלוי 110,2.0,60.0,2.0,488000.0,8133.0,1941.0,7.0
6,2010.0,12.0,31/12/2010,tel-aviv-area,קרליבך 1,4.0,100.0,11.0,2451370.0,24513.0,2013.0,8.0
7,2010.0,12.0,31/12/2010,tel-aviv-area,פינס 1,4.0,100.0,18.0,5392220.0,53922.0,2010.0,12.0
8,2010.0,12.0,31/12/2010,tel-aviv-area,קרליבך 1,4.0,100.0,8.0,2329570.0,23295.0,2013.0,14.0
9,2010.0,12.0,31/12/2010,tel-aviv-area,אנטיגונוס 2,3.5,70.0,,1400000.0,20000.0,1952.0,16.0
10,2010.0,12.0,31/12/2010,tel-aviv-area,אנטוקולסקי 9,2.0,47.0,2.0,790000.0,16808.0,1960.0,17.0
11,2010.0,12.0,31/12/2010,tel-aviv-area,ילין דוד 20,2.0,48.0,,1430000.0,29791.0,1999.0,18.0
12,2010.0,12.0,31/12/2010,tel-aviv-area,מזאה 76,2.0,50.0,,1260000.0,25200.0,1950.0,20.0
13,2010.0,12.0,31/12/2010,tel-aviv-area,התנאים 10,3.0,70.0,1.0,1865000.0,26642.0,1970.0,21.0
14,2010.0,12.0,31/12/2010,tel-aviv-area,מרים החשמונאית 18,3.5,70.0,,1400000.0,20000.0,1952.0,23.0
15,2010.0,12.0,31/12/2010,tel-aviv-area,,3.5,70.0,,1400000.0,20000.0,1952.0,24.0
16,2010.0,12.0,31/12/2010,tel-aviv-area,,2.0,48.0,,1430000.0,29791.0,1999.0,25.0
17,2010.0,12.0,31/12/2010,tel-aviv-area,,2.0,47.0,,790000.0,16808.0,1960.0,26.0
18,2010.0,12.0,31/12/2010,tel-aviv-area,אנטוקולסקי 9,2.0,47.0,2.0,790000.0,16808.0,1960.0,27.0
19,2010.0,12.0,29/12/2010,tel-aviv-area,אדירים 3,4.0,94.0,2.0,1050000.0,11170.0,1999.0,28.0
20,2010.0,12.0,29/12/2010,tel-aviv-area,,4.0,94.0,,1050000.0,11170.0,1999.0,29.0
