,DealYear,DealMonth,Date,Area,Address,Rooms,Surface,Floor,Price,PPSQM,BuildYear
0,2010,12,31/12/2010,tel-aviv-area,פינס 1,3,10,6,"4,918,469",,2011
1,2010,12,31/12/2010,tel-aviv-area,מלצ''ט 36,5,128,,"950,000","7,421",1999
2,2010,12,31/12/2010,tel-aviv-area,קרליבך 1,3,82,4,"2,096,120","25,562",2013
3,2010,12,31/12/2010,tel-aviv-area,קרליבך 1,3,91,1,"1,898,195","20,859",2013
4,2010,12,31/12/2010,tel-aviv-area,קרליבך 1,5,121,12,"3,146,500","26,004",2013
5,2010,12,31/12/2010,tel-aviv-area,המסילה 1,4,10,14,"5,735,931",,2011
6,2010,12,31/12/2010,tel-aviv-area,אב 1,5,125,18,"7,996,764","63,974",2011
7,2010,12,31/12/2010,tel-aviv-area,יהודה הלוי 110,2,60,2,"488,000","8,133",1941
8,2010,12,31/12/2010,tel-aviv-area,קרליבך 1,4,100,11,"2,451,370","24,513",2013
9,2010,12,31/12/2010,tel-aviv-area,המסילה 1,5,10,14,"7,659,136",,2011
10,2010,12,31/12/2010,tel-aviv-area,פינס 1,3,10,3,"2,503,277",,2011
11,2010,12,31/12/2010,tel-aviv-area,פינס 1,4,100,18,"5,392,220","53,922",2010
12,2010,12,31/12/2010,tel-aviv-area,המסילה 1,4,10,14,"5,311,048",,2011
13,2010,12,31/12/2010,tel-aviv-area,קרליבך 1,4,100,8,"2,329,570","23,295",2013
14,2010,12,31/12/2010,tel-aviv-area,אנטיגונוס 2,3.5,70,,"1,400,000","20,000",1952
15,2010,12,31/12/2010,tel-aviv-area,אנטוקולסקי 9,2,47,2,"790,000","16,808",1960
16,2010,12,31/12/2010,tel-aviv-area,ילין דוד 20,2,48,,"1,430,000","29,791",1999
17,2010,12,31/12/2010,tel-aviv-area,המסילה 1,5,10,14,"7,965,500",,2011
18,2010,12,31/12/2010,tel-aviv-area,מזאה 76,2,50,,"1,260,000","25,200",1950
19,2010,12,31/12/2010,tel-aviv-area,התנאים 10,3,70,1,"1,865,000","26,642",1970
20,2010,12,31/12/2010,tel-aviv-area,פינס 1,5,10,18,"8,556,868",,2011
21,2010,12,31/12/2010,tel-aviv-area,מרים החשמונאית 18,3.5,70,,"1,400,000","20,000",1952
22,2010,12,31/12/2010,tel-aviv-area,,3.5,70,,"1,400,000","20,000",1952
23,2010,12,31/12/2010,tel-aviv-area,,2,48,,"1,430,000","29,791",1999
24,2010,12,31/12/2010,tel-aviv-area,,2,47,,"790,000","16,808",1960
25,2010,12,31/12/2010,tel-aviv-area,אנטוקולסקי 9,2,47,2,"790,000","16,808",1960
26,2010,12,29/12/2010,tel-aviv-area,אדירים 3,4,94,2,"1,050,000","11,170",1999
27,2010,12,29/12/2010,tel-aviv-area,,4,94,,"1,050,000","11,170",1999
28,2010,12,29/12/2010,tel-aviv-area,,3,64,,"980,000","15,312",1949
29,2010,12,29/12/2010,tel-aviv-area,צלנוב 29,3,64,1,"980,000","15,312",1949
30,2010,11,30/11/2010,tel-aviv-area,אלוף משה בריל 10,4,87,1,"1,350,000","15,517",1970
31,2010,11,30/11/2010,tel-aviv-area,אבן גבירול 62,3,45,6,"2,150,000","47,777",2009
32,2010,11,30/11/2010,tel-aviv-area,אפשטיין 4,3,78,1,"2,400,000","30,769",1959
33,2010,11,30/11/2010,tel-aviv-area,סוקולוב 40,2,50,1,"1,560,000","31,200",1980
34,2010,11,30/11/2010,tel-aviv-area,אלכסנדר ינאי 15,3,75,2,"1,750,000","23,333",1946
35,2010,11,30/11/2010,tel-aviv-area,ז''בוטינסקי 151,3,58,3,"1,600,000","27,586",1962
36,2010,11,30/11/2010,tel-aviv-area,דרך דיין משה 40,3,57,3,"1,000,000","17,543",1960
37,2010,11,30/11/2010,tel-aviv-area,גוטליב 15,2,50,2,"1,380,000","27,600",1940
38,2010,11,29/11/2010,tel-aviv-area,דרך דיין משה 44,2.5,57,5,"692,000","12,140",1970
39,2010,11,29/11/2010,tel-aviv-area,ועידת קטוביץ 50,2,60,,"1,470,000","24,500",1949
